Best Service	ProSamples Vol. 52 - World Instruments 2	Partition A -> ERHU LICKS	ERHU LICKS	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition A -> ERHU	ERHU	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition A -> HARMONIUM	HARMONIUM	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition A -> MORIN KHUUR	MORIN KHUUR	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition A -> MORKURLICKS	MORKURLICKS	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition B -> AC BASS	AC BASS	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition B -> BOUZOUKI SAK	BOUZOUKI SAK	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition B -> SANTOOR SABE	SANTOOR SABE	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition C -> BAS FLT LICK	BAS FLT LICK	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition C -> BASSFLUTE	BASSFLUTE	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition C -> SHENG LICKS	SHENG LICKS	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition C -> SHENG	SHENG	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition C -> TENOR HORN	TENOR HORN	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition C -> ZHENG HARP	ZHENG HARP	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition D -> BALAFON	BALAFON	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition D -> BELLS+BOWLS	BELLS+BOWLS	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition D -> MIX DRM LOOP	MIX DRM LOP	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition D -> MIXED DRUMS	MIX DRUMS	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition E -> MIXED GONGS	MIXED GONGS	
Best Service	ProSamples Vol. 52 - World Instruments 2	Partition E -> MIXED PERC	MIXED PERC	
