Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	SampleCell CD-ROM Library			
(Click the cell, and click the	SampleCell II CD-ROM Library: Mac, Windows			
hyperlink that comes up.)	SampleCell II CD-ROM Library FX ROM I			
	SampleCell II Plus CD-ROM Library: Mac, Windows			
	Soft SampleCell Demo Sounds			
				
				
SampleCell CD-ROM Library		(Released: 1990 or 1991)		
Digidesign	SampleCell CD-ROM Library	Banks	Jo-ka-di' (bank)	
Digidesign	SampleCell CD-ROM Library	Banks	Pop Ballade Playstation	
Digidesign	SampleCell CD-ROM Library	Banks	Tite Groove Playstation	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 3	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 4	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 5	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 6	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 7	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 8	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Elec Bass 9	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass	Picked E. Bass Stereo	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass -> Electric Bass Lite	Elec Bass 1 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass -> Electric Bass Lite	Elec Bass 3 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass -> Electric Bass Lite	Elec Bass 4 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass -> Electric Bass Lite	Elec Bass 5 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass -> Electric Bass Lite	Elec Bass 6 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass -> Electric Bass Lite	Elec Bass 7 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Electric Bass -> Electric Bass Lite	Elec Bass 8 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Bass Mogondo	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Bass comp 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Crispy bass	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Dlm Bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Jupiter bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mem Moog bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mem Moog bass 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mem Moog bass 3	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mem Moog bass 4	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mini Moog bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mini Moog bass 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mini Moog bass Swl 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mini Moog bass Swl 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mini Moog bass sus 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Mini Moog bass sus 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Moog Bass 1 Left	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Moog Bass 1 Right	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Moog Mono Bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Nasal Bass Wave	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Perco Bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Perco Bass 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Piano bass 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass	Smack Bass	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Crispy Bass Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Crispy Bass Ster	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mem Moog Bass 1 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mem Moog Bass 2 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mem Moog Bass 3 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mem Moog Bass 4 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mini Moog Bass 1 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mini Moog Bass Sus 1 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mini Moog Bass Sus 2 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mini Moog Bass Swl 1 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Synth Bass -> Synth Bass Lite	Mini Moog Bass Swl 2 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Upright Bass	Upright Bass	
Digidesign	SampleCell CD-ROM Library	Instruments -> Basses -> Upright Bass	Upright Bass Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Ens Dyn	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Ens Dyn2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Ens Dyn3	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Lg Brs Ens 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Lg Brs Ens 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Lg Brs Ens 3	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Lg Brs Ens 4	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Lg Brs Ens EFX	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Lg Brs Ens SWL	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles	Lg Brs Ens Sht	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles -> Lg Brs Lite	Lg Brs Ens Sus Forte Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles -> Lg Brs Lite	Lg Brs Ens Sus Forte Ster	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles -> Lg Brs Lite	Lg Brs Ens Sus Sht Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles -> Lg Brs Lite	Lg Brs Ens Sus Sht Ster	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles -> Lg Brs Lite	Lg Brs Ens Vel Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Large Brass Ensembles -> Lg Brs Lite	Lg Brs Ens Vel Ster	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns	Rock & Roll Horn 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns	Rock & Roll Horn 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns	Rock & Roll Horn 3	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns	Rock & Roll Horn 4	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns	Rock & Roll Horn 5	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns	Rock & Roll Horn 6	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns -> Lite Versions	Rock & Roll Horn Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns -> Lite Versions	Rock & Roll Horn Stereo	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns -> Lite Versions	Rock & Roll Horn Sus Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Rock & Roll Horns -> Lite Versions	Rock & Roll Horn Sus Stereo	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Benny's Theme	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Brass Stab	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Fat&Horny	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	JX Brass Stab	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Oberheim Brass	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Ppg Brass	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Rich Analog Brass	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Stab Brass	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Synth Brass Horns	Synth-o-saurus	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Trumpet	Trumpet 1	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Trumpet	Trumpet 2	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Trumpet	Trumpet 3	
Digidesign	SampleCell CD-ROM Library	Instruments -> Brass -> Trumpet -> Trumpet Lite	Trumpet 1 Mono	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	808 Open Hi Hat	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	China Cymbals Complete	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	Crash 1 Complete	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	Crash 2 Complete	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	Hi Hats Complete	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	JungleBell Perc.	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	Kicks Complete	
Digidesign	SampleCell CD-ROM Library	Instruments -> Drums & Percussion	Ludwig Blk Bty Snares	
