Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	FruityLoops/FL Studio: 1, 10	Harmless: FL 10		
(Click the cell, and click the	3x Osc	Harmor: FL 10		
hyperlink that comes up.)	BassDrum	MiniSynth		
	BeepMap	Morphine		
	Buzz Generator Adapter	Ogun		
	Drumaxx	Plucked!		
	FL Keys	PoiZone		
	FL Slayer	Sakura		
	FLEX	Sawer		
	FPC: FL 10	SimSynth		
	Fruit Kick	Sytrus: FL 10		
	Fruity DrumSynth Live	Toxic Biohazard		
	Fruity DX10	Wasp		
	GMS	Wasp XT		
	Groove Machine	Wave Traveller		
				
				
to-do: add more fl versions and plugins				
FL Studio				
FruityLoops 1		(Released: March 21, 1998)		
Image-Line	FruityLoops 1	Samples	1005	
Image-Line	FruityLoops 1	Samples	1010	
Image-Line	FruityLoops 1	Samples	1016	
Image-Line	FruityLoops 1	Samples	1017	
Image-Line	FruityLoops 1	Samples	1019	
Image-Line	FruityLoops 1	Samples	1021	
Image-Line	FruityLoops 1	Samples	606mhat	
Image-Line	FruityLoops 1	Samples	606SNAR	
Image-Line	FruityLoops 1	Samples	707_COW	
Image-Line	FruityLoops 1	Samples	707_HCP	
Image-Line	FruityLoops 1	Samples	707_HHC	
Image-Line	FruityLoops 1	Samples	707_SD0	
Image-Line	FruityLoops 1	Samples	707_TAM	
Image-Line	FruityLoops 1	Samples	909_2	
Image-Line	FruityLoops 1	Samples	909_3	
Image-Line	FruityLoops 1	Samples	A012	
Image-Line	FruityLoops 1	Samples	Bass_8	
Image-Line	FruityLoops 1	Samples	Bass_9	
Image-Line	FruityLoops 1	Samples	BD05VRB	
Image-Line	FruityLoops 1	Samples	bdrum_long	
Image-Line	FruityLoops 1	Samples	Bq-pi028	
Image-Line	FruityLoops 1	Samples	Bq-pi031	
Image-Line	FruityLoops 1	Samples	chhs	
Image-Line	FruityLoops 1	Samples	clap	
Image-Line	FruityLoops 1	Samples	CR8KCLAP	
Image-Line	FruityLoops 1	Samples	CR8KRIM	
Image-Line	FruityLoops 1	Samples	crash	
Image-Line	FruityLoops 1	Samples	D4CYMB03	
Image-Line	FruityLoops 1	Samples	D4CYMB12	
Image-Line	FruityLoops 1	Samples	D4cymb18	
Image-Line	FruityLoops 1	Samples	Fucito39	
Image-Line	FruityLoops 1	Samples	HandClap	
Image-Line	FruityLoops 1	Samples	HATCLOSD	
Image-Line	FruityLoops 1	Samples	HATOPEN	
Image-Line	FruityLoops 1	Samples	hbd_109	
Image-Line	FruityLoops 1	Samples	HC10	
Image-Line	FruityLoops 1	Samples	hi_c_03e	
Image-Line	FruityLoops 1	Samples	hi_c_06c	
Image-Line	FruityLoops 1	Samples	hi_c_06e	
Image-Line	FruityLoops 1	Samples	hi_c_09e	
Image-Line	FruityLoops 1	Samples	hi_c_09k	
Image-Line	FruityLoops 1	Samples	hi_o_03g	
Image-Line	FruityLoops 1	Samples	kick_02i	
Image-Line	FruityLoops 1	Samples	kick_05a	
Image-Line	FruityLoops 1	Samples	kick_05c	
Image-Line	FruityLoops 1	Samples	kick_05f	
Image-Line	FruityLoops 1	Samples	kick_08e	
Image-Line	FruityLoops 1	Samples	kick_11c	
Image-Line	FruityLoops 1	Samples	kick_14f	
Image-Line	FruityLoops 1	Samples	kick_14j	
Image-Line	FruityLoops 1	Samples	kick	
Image-Line	FruityLoops 1	Samples	kick2	
Image-Line	FruityLoops 1	Samples	kick3	
Image-Line	FruityLoops 1	Samples	ohh	
Image-Line	FruityLoops 1	Samples	rim_10y	
Image-Line	FruityLoops 1	Samples	Rimsd1	
Image-Line	FruityLoops 1	Samples	SD19VRB	
Image-Line	FruityLoops 1	Samples	shorthi	
Image-Line	FruityLoops 1	Samples	snap_10r	
Image-Line	FruityLoops 1	Samples	snar_07a	
Image-Line	FruityLoops 1	Samples	snar_07b	
Image-Line	FruityLoops 1	Samples	snar_07k	
Image-Line	FruityLoops 1	Samples	snar_10d	
Image-Line	FruityLoops 1	Samples	snar_10h	
Image-Line	FruityLoops 1	Samples	snar_10l	
Image-Line	FruityLoops 1	Samples	snar_13j	
Image-Line	FruityLoops 1	Samples	snar_13l	
Image-Line	FruityLoops 1	Samples	snar_16h	
Image-Line	FruityLoops 1	Samples	snar_16u	
Image-Line	FruityLoops 1	Samples	snare	
Image-Line	FruityLoops 1	Samples	sp_01_00	
Image-Line	FruityLoops 1	Samples	sp_mx_05	
Image-Line	FruityLoops 1	Samples	sp_mx_06	
Image-Line	FruityLoops 1	Samples	sp_mx_10	
Image-Line	FruityLoops 1	Samples	sp_mx_16	
Image-Line	FruityLoops 1	Samples	sp_mx_19	
Image-Line	FruityLoops 1	Samples	sp_mx_22	
Image-Line	FruityLoops 1	Samples	sp_mx_24	
Image-Line	FruityLoops 1	Samples	sp_mx_25	
Image-Line	FruityLoops 1	Samples	sp_mx_33	
Image-Line	FruityLoops 1	Samples	sp_mx_34	
Image-Line	FruityLoops 1	Samples	tsn_171	
FL Studio 10		(Released: March 29, 2011)		Jump to top
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Accordeon	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Accordeon 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Analog dreamz	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Analogous phattus	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arp King	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 3	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 4	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 5	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 6	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 7	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 8	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 9	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Arpeggio 10	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Bassline	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Bell	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	BP string	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Brass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Brass 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Brass 3	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Brass 4	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Brass 5	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Brass 6	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Caesar	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Changing bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Cheap trumpet	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Chime synth	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Chip	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Chip 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Chip 3	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Chip 4	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Clap	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Clean	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Closed hat	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Death ray	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Detuned	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Dixie	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Droplets	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	DX7	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Fat cheese	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Fat cheese 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Flute	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Glitchy	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Hard bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Hihat	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Hoover	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	HQ_Brass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	HQ_Brass 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	HQ_Brass 2 (fat)	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Intregue	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	JrBass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Kick	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Kick 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Kick 3	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Kick 4	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Kick 5	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Laser	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Log drum	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Long string	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Long string (major)	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Mad KB	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Moog bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Moogish	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Moralog	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Nasty	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Noisy bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Noisy bass 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Notched string	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Notched string 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Notched string 3	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Odd brass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Open hat	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ 3	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ 3 (fat)	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ 3 (major)	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ 4	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ 5	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Organ 6	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Outer space hooter	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Phat bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pilch bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pilch tech lead	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pilch tech pad	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pluck	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pluck (fat)	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Porta bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pure bass	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pure bass 2	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pure bass 3	
Image-Line	FL Studio 10	Channel presets -> 3x Osc	Pure bass 4	
