Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	K1 / K1II	=K1 Sound Cards=	=K4 Sound Cards=	
(Click the cell, and click the	K4	Sound Card A101	Sound Card A400	
hyperlink that comes up.)		Sound Card A102	Sound Card A401	
		Sound Card A103	Sound Card A402	
		Sound Card A104	Sound Card A403	
		Sound Card A105	Sound Card A404	
		Sound Card A200	Sound Card A405	
		Sound Card E101	Sound Card E401	
		Sound Card E102	Sound Card J401	
		Sound Card J101	Sound Card J402	
		Sound Card J102		
		Sound Card J103		
				
				
to-do: add k5				
K1				
K1/K1m/K1r		(Released: 1988)		
Kawai	K1	Single -> Internal	IA-1 Ahh	
Kawai	K1	Single -> Internal	IA-2 6 String	
Kawai	K1	Single -> Internal	IA-3 String Pad	
Kawai	K1	Single -> Internal	IA-4 Al'sRhodes	
Kawai	K1	Single -> Internal	IA-5 Visitors	
Kawai	K1	Single -> Internal	IA-6 Pan Flute	
Kawai	K1	Single -> Internal	IA-7 Trumpet	
Kawai	K1	Single -> Internal	IA-8 1 Key Beat	
Kawai	K1	Single -> Internal	IB-1 Sitar	
Kawai	K1	Single -> Internal	IB-2 Piano 1	
Kawai	K1	Single -> Internal	IB-3 Jazz Harp	
Kawai	K1	Single -> Internal	IB-4 Fuzz Clav	
Kawai	K1	Single -> Internal	IB-5 Jazz Organ	
Kawai	K1	Single -> Internal	IB-6 Clarinet	
Kawai	K1	Single -> Internal	IB-7 Bowed Strg	
Kawai	K1	Single -> Internal	IB-8 Pizzicato	
Kawai	K1	Single -> Internal	IC-1 Stratocast	
Kawai	K1	Single -> Internal	IC-2 StrutNstuf	
Kawai	K1	Single -> Internal	IC-3 AnalogBras	
Kawai	K1	Single -> Internal	IC-4 Crockett's	
Kawai	K1	Single -> Internal	IC-5 Reflection	
Kawai	K1	Single -> Internal	IC-6 HeavyHittr	
Kawai	K1	Single -> Internal	IC-7 Terminator	
Kawai	K1	Single -> Internal	IC-8 Nomads	
Kawai	K1	Single -> Internal	ID-1 Kick Bass	
Kawai	K1	Single -> Internal	ID-2 Pull Bass	
Kawai	K1	Single -> Internal	ID-3 Vybes	
Kawai	K1	Single -> Internal	ID-4 Bellery	
Kawai	K1	Single -> Internal	ID-5 Music Box	
Kawai	K1	Single -> Internal	ID-6 Kick+E.Snr	
Kawai	K1	Single -> Internal	ID-7 ETom+HiHat	
Kawai	K1	Single -> Internal	ID-8 Cymbals	
Kawai	K1	Single -> Internal	iA-1 Voice	
Kawai	K1	Single -> Internal	iA-2 12 String	
Kawai	K1	Single -> Internal	iA-3 String Ens	
Kawai	K1	Single -> Internal	iA-4 Digi Piano	
Kawai	K1	Single -> Internal	iA-5 ReturnHome	
Kawai	K1	Single -> Internal	iA-6 Flute	
Kawai	K1	Single -> Internal	iA-7 FrenchHorn	
Kawai	K1	Single -> Internal	iA-8 GongOfKngs	
Kawai	K1	Single -> Internal	iB-1 Kimono	
Kawai	K1	Single -> Internal	iB-2 Piano 2	
Kawai	K1	Single -> Internal	iB-3 Saxy	
Kawai	K1	Single -> Internal	iB-4 Harpsicord	
Kawai	K1	Single -> Internal	iB-5 DeepPurple	
Kawai	K1	Single -> Internal	iB-6 Oboe	
Kawai	K1	Single -> Internal	iB-7 Cellos	
Kawai	K1	Single -> Internal	iB-8 Orchestra	
Kawai	K1	Single -> Internal	iC-1 Steel Keys	
Kawai	K1	Single -> Internal	iC-2 Club Piano	
Kawai	K1	Single -> Internal	iC-3 NastyBrass	
Kawai	K1	Single -> Internal	iC-4 Jan'sTheme	
Kawai	K1	Single -> Internal	iC-5 Ole!	
Kawai	K1	Single -> Internal	iC-6 Aftertouch	
Kawai	K1	Single -> Internal	iC-7 DragonHall	
Kawai	K1	Single -> Internal	iC-8 Arrangment	
Kawai	K1	Single -> Internal	iD-1 Ac Bass	
Kawai	K1	Single -> Internal	iD-2 ElectrBass	
Kawai	K1	Single -> Internal	iD-3 Marimba	
Kawai	K1	Single -> Internal	iD-4 Glocken	
Kawai	K1	Single -> Internal	iD-5 SteelDrums	
Kawai	K1	Single -> Internal	iD-6 Kick+Snare	
Kawai	K1	Single -> Internal	iD-7 ATom+HiHat	
Kawai	K1	Single -> Internal	iD-8 Rim+Snare	
Kawai	K1	Multi -> Internal	IA-1 VOICE+ORCH	
Kawai	K1	Multi -> Internal	IA-2 PIZZSTRING	
Kawai	K1	Multi -> Internal	IA-3 AIR PIANO	
Kawai	K1	Multi -> Internal	IA-4 SUSPENSE	
Kawai	K1	Multi -> Internal	IA-5 EASY SONG	
Kawai	K1	Multi -> Internal	IA-6 LOUNGELIZZ	
Kawai	K1	Multi -> Internal	IA-7 QUIKSTRIKE	
Kawai	K1	Multi -> Internal	IA-8 E DRUM	
Kawai	K1	Multi -> Internal	IB-1 CAP'NPOWER	
Kawai	K1	Multi -> Internal	IB-2 HAMPTON	
Kawai	K1	Multi -> Internal	IB-3 YEAR 2010	
Kawai	K1	Multi -> Internal	IB-4 CLAV COMP	
Kawai	K1	Multi -> Internal	IB-5 NASTYSPLIT	
Kawai	K1	Multi -> Internal	IB-6 WAGNER STR	
Kawai	K1	Multi -> Internal	IB-7 BIG COMBO	
Kawai	K1	Multi -> Internal	IB-8 MONSTAGONG	
Kawai	K1	Multi -> Internal	IC-1 STEREOBELL	
Kawai	K1	Multi -> Internal	IC-2 STRINGUITR	
Kawai	K1	Multi -> Internal	IC-3 MYSTRY@NYT	
Kawai	K1	Multi -> Internal	IC-4 STAR TOURS	
Kawai	K1	Multi -> Internal	IC-5 PIANOSTRNG	
Kawai	K1	Multi -> Internal	IC-6 MAJORMINOR	
Kawai	K1	Multi -> Internal	IC-7 1NOTESTACK	
Kawai	K1	Multi -> Internal	IC-8 RAW POWER	
Kawai	K1	Multi -> Internal	ID-1 2 MOON SKY	
Kawai	K1	Multi -> Internal	ID-2 CEREMONY	
Kawai	K1	Multi -> Internal	ID-3 FUSION	
Kawai	K1	Multi -> Internal	ID-4 PEACEFUL	
Kawai	K1	Multi -> Internal	ID-5 ELECTRCPOP	
Kawai	K1	Multi -> Internal	ID-6 LITE SIDE	
Kawai	K1	Multi -> Internal	ID-7 EXOTIC SEQ	
Kawai	K1	Multi -> Internal	ID-8 PERC ENS	
Kawai	K1	Wave	001 SIN 1st	
Kawai	K1	Wave	002 SIN 2nd	
Kawai	K1	Wave	003 SIN 3rd	
Kawai	K1	Wave	004 SIN 4th	
Kawai	K1	Wave	005 SIN 5th	
Kawai	K1	Wave	006 SIN 6th	
Kawai	K1	Wave	007 SIN 7th	
Kawai	K1	Wave	008 SIN 8th	
Kawai	K1	Wave	009 SIN 9th	
Kawai	K1	Wave	010 SIN 10th	
Kawai	K1	Wave	011 SIN 11th	
Kawai	K1	Wave	012 SIN 12th	
Kawai	K1	Wave	013 SIN 16th	
Kawai	K1	Wave	014 SAW 1	
Kawai	K1	Wave	015 SAW 2	
Kawai	K1	Wave	016 SAW 3	
Kawai	K1	Wave	017 SAW 4	
Kawai	K1	Wave	018 SAW 5	
Kawai	K1	Wave	019 SAW 6	
Kawai	K1	Wave	020 SAW 7	
Kawai	K1	Wave	021 SAW 8	
Kawai	K1	Wave	022 SAW 9	
Kawai	K1	Wave	023 SAW 10	
Kawai	K1	Wave	024 SAW 11	
Kawai	K1	Wave	025 SAW 12	
Kawai	K1	Wave	026 SAW 13	
Kawai	K1	Wave	027 SAW 14	
Kawai	K1	Wave	028 SAW 15	
Kawai	K1	Wave	029 SAW 16	
Kawai	K1	Wave	030 SAW 17	
Kawai	K1	Wave	031 SAW 18	
Kawai	K1	Wave	032 SAW 19	
Kawai	K1	Wave	033 SQUARE 1	
Kawai	K1	Wave	034 SQUARE 2	
Kawai	K1	Wave	035 SQUARE 3	
Kawai	K1	Wave	036 SQUARE 4	
Kawai	K1	Wave	037 SQUARE 5	
Kawai	K1	Wave	038 INVERSE-SAW	
Kawai	K1	Wave	039 TRIANGLE	
Kawai	K1	Wave	040 RANDOM	
Kawai	K1	Wave	041 FRENCH HORN	
Kawai	K1	Wave	042 STRING	
Kawai	K1	Wave	043 STRING	
Kawai	K1	Wave	044 STRING PAD	
Kawai	K1	Wave	045 PIANO 1	
Kawai	K1	Wave	046 EL. GRAND	
Kawai	K1	Wave	047 E. PIANO 1	
Kawai	K1	Wave	048 E. PIANO 2	
Kawai	K1	Wave	049 E. PIANO 3	
Kawai	K1	Wave	050 CLAVI	
Kawai	K1	Wave	051 VIBE	
Kawai	K1	Wave	052 A. GUITAR	
Kawai	K1	Wave	053 F. GUITAR	
Kawai	K1	Wave	054 F. GUITAR	
Kawai	K1	Wave	055 Ac BASS	
Kawai	K1	Wave	056 Ac BASS	
Kawai	K1	Wave	057 DIGI BASS 1	
Kawai	K1	Wave	058 PICK BASS	
Kawai	K1	Wave	059 DIGI BASS 2	
Kawai	K1	Wave	060 ROUND BASS	
Kawai	K1	Wave	061 FRETLESS	
Kawai	K1	Wave	062 FRETLESS	
Kawai	K1	Wave	063 FLUTE	
Kawai	K1	Wave	064 PANFLUTE	
Kawai	K1	Wave	065 HARMONICA	
Kawai	K1	Wave	066 GLOCKEN	
Kawai	K1	Wave	067 TINE	
Kawai	K1	Wave	068 HARP	
Kawai	K1	Wave	069 MARIMBA	
Kawai	K1	Wave	070 E. TOM	
Kawai	K1	Wave	071 LOG DRUM	
Kawai	K1	Wave	072 JAZZ ORGAN 1	
Kawai	K1	Wave	073 MELLO PAD	
Kawai	K1	Wave	074 SYNTH SOLO	
Kawai	K1	Wave	075 SYNTH 2	
Kawai	K1	Wave	076 FRENCH HORN	
Kawai	K1	Wave	077 FRENCH HORN	
Kawai	K1	Wave	078 BRASS	
Kawai	K1	Wave	079 BRASS	
Kawai	K1	Wave	080 BRASS	
Kawai	K1	Wave	081 BRASS	
Kawai	K1	Wave	082 TRUMPET	
Kawai	K1	Wave	083 TRUMPET	
Kawai	K1	Wave	084 VIOLIN	
Kawai	K1	Wave	085 STRING	
Kawai	K1	Wave	086 PIANO 1	
Kawai	K1	Wave	087 PIANO 2	
Kawai	K1	Wave	088 PIANO 3	
Kawai	K1	Wave	089 PIANO 2	
Kawai	K1	Wave	090 PIANO 3	
Kawai	K1	Wave	091 PIANO 4	
Kawai	K1	Wave	092 PIANO 4	
Kawai	K1	Wave	093 EL. GRAND	
Kawai	K1	Wave	094 E. PIANO 1	
Kawai	K1	Wave	095 E. PIANO 2	
Kawai	K1	Wave	096 E. PIANO 2	
Kawai	K1	Wave	097 CLAVI	
Kawai	K1	Wave	098 HARPSICHORD	
Kawai	K1	Wave	099 VIBE	
Kawai	K1	Wave	100 A. GUITAR	
Kawai	K1	Wave	101 F. GUITAR	
Kawai	K1	Wave	102 STRAT	
Kawai	K1	Wave	103 STRAT	
Kawai	K1	Wave	104 Ac BASS	
Kawai	K1	Wave	105 PULL BASS	
Kawai	K1	Wave	106 PULL BASS	
Kawai	K1	Wave	107 ROUND BASS	
Kawai	K1	Wave	108 SLAP BASS	
Kawai	K1	Wave	109 SLAP BASS	
Kawai	K1	Wave	110 SLAP BASS	
Kawai	K1	Wave	111 FRETLESS	
Kawai	K1	Wave	112 FRETLESS	
Kawai	K1	Wave	113 SYNTH BASS	
Kawai	K1	Wave	114 SYNTH BASS	
Kawai	K1	Wave	115 HARMONICA	
Kawai	K1	Wave	116 CLARINET	
Kawai	K1	Wave	117 CLARINET	
Kawai	K1	Wave	118 OBOE	
Kawai	K1	Wave	119 OBOE	
Kawai	K1	Wave	120 SHAKUHACHI	
Kawai	K1	Wave	121 ORIENTAL BELL	
