Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	Classical Percussion & Harp: AKAI, E-MU			
(Click the cell, and click the	Solo Instruments I: AKAI, E-MU			
hyperlink that comes up.)	Solo Instruments II: AKAI, E-MU			
	String Ensembles: AKAI, E-MU			
	Woodwind & Brass Ensembles: AKAI, E-MU			
	Miroslav Philharmonik			
				
				
to-do: add sub-patches to philharmonik, add philharmonik 2, find & add more versions (cdda, kurzweil)				
Symphonic Orchestra - Classical Percussion & Harp		(Released: March 1994 or before)		
AKAI				
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	ORCH P HALL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	BS DR HALL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	SN DR HALL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	CYM HALL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	TIMP HALL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	TRIANG HALL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	BS DR H   B	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	TIMP HALL B	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	SN DR H   B	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	CYM H     B	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> PROGRAM	TRIANG H  B	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GC F3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GC PP1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GC ROLL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GC F1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GC FF1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GC PP2    -R	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GC MF1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD05	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	GONG MALET	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD01 STUDI	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH E2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD09 RO F	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH A2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD06 RO AC	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD18 RIM	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH E3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD17 RIM	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD04	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD20 ACC	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH G3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	CY S 2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	CY S3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	CY SH 2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	CY SH 3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD07 RO	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD20	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD20    .1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	SD08 RO	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	CY SHORT 1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	CY SP PP 1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH C2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	CY SPLASH	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH D#2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TR JING 1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH G2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TRI 2 PP	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH A#2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TIH D3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TRI 3 MF	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TRI 4 F	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	T5	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	T6	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	T7	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 001 -> SAMPLE	TRIANGLE 1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 002 -> PROGRAM	CONGOS	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 002 -> SAMPLE	CO D81	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 002 -> SAMPLE	CO D8	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 002 -> SAMPLE	CO D7	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 002 -> SAMPLE	CO D91	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 002 -> SAMPLE	CO D9	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> PROGRAM	BONGOS	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> PROGRAM	BONGOS LOW	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 10 TRIP	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 11	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 12	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 13	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 14	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 15	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 16	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 5	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 7 TRIPL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 8 TRIPL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 9 TRIPL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO+1	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 1++	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 10+TRIP	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 11+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 1+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 12+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 13+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 14+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 15+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 16+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 2+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 3+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 5+	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 7+TRIPL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 8+TRIPL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 003 -> SAMPLE	BO 9+TRIPL	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> PROGRAM	DRUM MISC	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR1      1-L	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR1       -R	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR1+     1-L	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR1+      -R	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR3	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR2	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR4	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR5	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 004 -> SAMPLE	DR6	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 005 -> PROGRAM	COW BELLS	
Miroslav Vitous	Classical Percussion & Harp	Partition A -> VOLUME 005 -> SAMPLE	CRASKI 2	
