Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	Quasar			
(Click the cell, and click the	T.R.E.			
hyperlink that comes up.)	HARDCORE			
	SIRIUS			
				
				
to-do: add performances to T.R.E. and HARDCORE moduls, add more products				
Quasar		(Released: 1993)		
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-00 Bandoneo	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-01 StClaus	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-02 Argonaut	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-03 ANALEAD	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-04 Cathetrl	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-05 ArpgStrg	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-06 DelayGtr	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-07 Rotterdm	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-08 Digisynt	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-09 RingDemo	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-10 Whitney	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-11 French	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-12 Heaven	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-13 Legend	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-14 OB-CHOR	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-15 Zither	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-16 PhasChor	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-17 Phased	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-18 PHASSTRG	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-19 PROPHETS	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-20 RockViol	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-21 Sam&Hold	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-22 Schlager	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-23 Schweb	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-24 SFX	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-25 SeqAngel	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-26 SynVox	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-27 PARSON	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-28 SOLO_1	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-29 SOLO_2	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-30 PiaStrig	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-31 E.Mosch	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-32 BriteMod	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-33 Burkhard	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-34 Chiffer	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-35 ChorusGT	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-36 Clipper	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-37 Erasure	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-38 OMDSeq	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-39 Fantasy	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-40 FlangChr	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-41 Flangers	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-42 FLOETE	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-43 FM-Strgs	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-44 Glassey	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-45 GlockSpl	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-46 HardOne	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-47 Harmonum	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-48 Huuhs	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-49 JUNO106	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-50 JX3p	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-51 Lunatics	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-52 Marbles	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-53 Mozaring	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-54 Old-Rome	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-55 Orchster	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-56 SoloSynt	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-57 Peter G.	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-58 PhasPuls	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-59 Pizza	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-60 Play1Key	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-61 POLYSWEP	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-62 Quartet	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-63 Randomiz	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-64 RECHTECK	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-65 Desaster	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-66 SawStrgs	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-67 Sawtooth	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-68 Science	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-69 GateDist	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-70 Soundtra	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-71 Spaceys	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-72 SquareFX	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-73 SQUARIAN	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-74 StrgFlng	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-75 Tinkling	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-76 Trumpet	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-77 Tubulars	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-78 AmoreMio	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-79 Uranus	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-80 VoxChor	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-81 Voyager	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-82 WaveSequ	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-83 DirtyOrg	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-84 Prophets	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-85 America	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-86 PercSolo	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-87 Starwars	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-88 Kurpfalz	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-89 Birdland	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-90 Blaster	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-91 Pulsweep	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-92 CMIDream	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-93 FMSynth	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-94 TechCats	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-95 VOCODER_	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-96 Churchy	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-97 Gloeckls	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-98 VoisCow	
Quasimidi	Quasar	PERFORMANCE -> RAM	RAM-99 BowedStg	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-00 ROCKPIAN	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-01 VELOSAX_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-02 12STRING	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-03 DOMCHURC	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-04 MONUMENT	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-05 BASS_STR	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-06 HITBRASS	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-07 EMERSORG	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-08 CHAMBER_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-09 OCTAVSTG	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-10 RHODESEQ	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-11 J_HAMMER	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-12 HOHNERVX	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-13 CLEANGTR	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-14 CLAVINET	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-15 SMOKE_ON	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-16 MELLOTRN	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-17 TOTOBRAS	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-18 STEINWAY	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-19 ORCESTSP	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-20 TREMOLO_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-21 MOD_GUIT	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-22 HANCOCK_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-23 SUPERJX_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-24 KEYSPLIT	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-25 SAXSPLIT	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-26 MATINEE_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-27 CALLIOPE	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-28 SACRAL__	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-29 DREAMGTR	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-30 BAROCK_1	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-31 VOXCONTI	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-32 MICRO_B1	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-33 FLIPPERS	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-34 LEVEL42_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-35 BRASS___	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-36 WELTMSTR	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-37 RHODES_1	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-38 ORCHEST1	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-39 WILDECK_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-40 HENDRIX_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-41 HAWAII__	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-42 WAH_WAH_	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-43 AKK_BASS	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-44 BAROCKSP	
Quasimidi	Quasar	PERFORMANCE -> ROM	A-45 BASSPIAN	
