Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	HALion			
(Click the cell, and click the	Virtual Guitarist			
hyperlink that comes up.)	Virtual Guitarist Electric Edition			
	Hypersonic: 1.0, 1.1.1			
	HALion 3			
	Virtual Bassist			
	HALion Symphonic Orchestra			
	Virtual Guitarist 2			
	HALionONE			
	HALion Sonic 2			
	Groove Agent ONE			
				
				
to-do: add every version of HALion, HALion Sonic, HALion Sonic SE, Groove Agent, etc., add Hypersonic 2				
HALion		(Released: June 19, 2001)		
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn01	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn02	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn03	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn04	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn05	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn06	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn07	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn08	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn09	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn10	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn11	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn12	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn13	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn14	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn15	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn16	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn17	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn18	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn19	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn20	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn21	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn22	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn23	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn24	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn25	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn26	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn27	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal Bdn GC	TransGlobal Bdn28	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx01	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx02	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx03	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx04	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx05	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx06	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx07	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx08	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx09	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 106 TransGlobal SMx GC	TransGlobal SMx10	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 01	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 02	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 03	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 04	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 05	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 06	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 07	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 08	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 09	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 10	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 11	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 12	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 13	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 14	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 15	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 118 Confusious GC	Confusious 16	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 201	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 202	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 203	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 204	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 205	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 206	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 207	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 208	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 209	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 210	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 211	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 212	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 213	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 214	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 215	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 216	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 217	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 218	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 219	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 220	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 221	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 222	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 223	
Steinberg	HALion	Demo Material -> ILIO-Skippy's Grooves -> Skippy Grooves Audio Data -> 120 PoPo GC	PoPo 224	
