Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	Analog Motion	Savage	Modular Drums	
(Click the cell, and click the	Spectre	Volkm	Pulsación	
hyperlink that comes up.)	Ether Fields	LoFi Dreams	Afropop	
	Atmospherics	Kinetics	Atmospherics 2	
	Cinematic Shades	Hypnotic Dive	Escapism	
	SubCulture	Inner Dimensions	Modular Waves	
	Digital Motion	SubCulture Orchestral		
	Devinity	Organic Keys		
	Pulsar	Fluidity		
	Eternal Funk	Organic Arps		
	Titanium	Modular Noise		
	Plurality	Organic Pads		
				
				
to-do: expansions released after 2025, add colors				
Analog Motion		(Released: February 25, 2016)		Jump to top
UVI	Analog Motion	1-Arpeggiated	Analog Cinematic	
UVI	Analog Motion	1-Arpeggiated	Chord Fall in Love	
UVI	Analog Motion	1-Arpeggiated	Crossmod Waves	
UVI	Analog Motion	1-Arpeggiated	Eleventh Hour	
UVI	Analog Motion	1-Arpeggiated	Evening Blue	
UVI	Analog Motion	1-Arpeggiated	First Exploration	
UVI	Analog Motion	1-Arpeggiated	High Energy	
UVI	Analog Motion	1-Arpeggiated	Light Drops	
UVI	Analog Motion	1-Arpeggiated	Multi Wave Arp	
UVI	Analog Motion	1-Arpeggiated	Multiseq	
UVI	Analog Motion	1-Arpeggiated	Night Flight	
UVI	Analog Motion	1-Arpeggiated	Nocturn Escapade	
UVI	Analog Motion	1-Arpeggiated	Park Central Park	
UVI	Analog Motion	1-Arpeggiated	Pluck Pad Arp	
UVI	Analog Motion	1-Arpeggiated	Raise n Resonance	
UVI	Analog Motion	1-Arpeggiated	Red Sky	
UVI	Analog Motion	1-Arpeggiated	Sixteen Step	
UVI	Analog Motion	1-Arpeggiated	Slow Multipattern	
UVI	Analog Motion	1-Arpeggiated	Sparkle Keys	
UVI	Analog Motion	1-Arpeggiated	Spectral EDnergy	
UVI	Analog Motion	1-Arpeggiated	Sunday Morning	
UVI	Analog Motion	1-Arpeggiated	Tropic Digi Wheel	
UVI	Analog Motion	1-Arpeggiated	Ultra Soft Arp Wheel	
UVI	Analog Motion	1-Arpeggiated	Waverunning	
UVI	Analog Motion	2-Sequence	A Jump Slide	
UVI	Analog Motion	2-Sequence	Brute Jumper	
UVI	Analog Motion	2-Sequence	Easy Play Tangerine	
UVI	Analog Motion	2-Sequence	Five Spot	
UVI	Analog Motion	2-Sequence	Hidden Agenda	
UVI	Analog Motion	2-Sequence	Inked Linked	
UVI	Analog Motion	2-Sequence	Line Panner	
UVI	Analog Motion	2-Sequence	Mac Arena	
UVI	Analog Motion	2-Sequence	Minor Energy	
UVI	Analog Motion	2-Sequence	Monoseq	
UVI	Analog Motion	2-Sequence	O Wawa N Again	
UVI	Analog Motion	2-Sequence	Octabass Groove	
UVI	Analog Motion	2-Sequence	Ominous Electro	
UVI	Analog Motion	2-Sequence	One Finger Arp	
UVI	Analog Motion	2-Sequence	SEQ Alpha One 95	
UVI	Analog Motion	2-Sequence	SEQ Introductory	
UVI	Analog Motion	2-Sequence	Sequence DAMotion 1	
UVI	Analog Motion	2-Sequence	Sequence DAMotion 2	
UVI	Analog Motion	2-Sequence	Sequence Stars	
UVI	Analog Motion	2-Sequence	Shifty Shifty	
UVI	Analog Motion	2-Sequence	Sonic Filament	
UVI	Analog Motion	2-Sequence	Space Vortex	
UVI	Analog Motion	2-Sequence	Thunder Meditation	
UVI	Analog Motion	2-Sequence	Trilateral Time	
UVI	Analog Motion	2-Sequence	Uber Space Driving	
UVI	Analog Motion	2-Sequence	Underwater Spain	
UVI	Analog Motion	2-Sequence	Upbeat Layers	
UVI	Analog Motion	2-Sequence	Valley People	
UVI	Analog Motion	2-Sequence	Vangel Slow Motion	
UVI	Analog Motion	2-Sequence	Vice Wheel 2000	
UVI	Analog Motion	2-Sequence	Villain	
UVI	Analog Motion	2-Sequence	Waverun Sequence	
UVI	Analog Motion	2-Sequence	X Analog Beat	
UVI	Analog Motion	3-Playable	BL Nightshine 1	
UVI	Analog Motion	3-Playable	BL Nightshine 2	
UVI	Analog Motion	3-Playable	BR Brassy Rising	
UVI	Analog Motion	3-Playable	BR Master Kanter	
UVI	Analog Motion	3-Playable	BR Modson Platinum	
UVI	Analog Motion	3-Playable	BR Osc Motion 1	
UVI	Analog Motion	3-Playable	BR Osc Motion 2	
UVI	Analog Motion	3-Playable	KB Hi N Ken	
UVI	Analog Motion	3-Playable	KB Road in Space	
UVI	Analog Motion	3-Playable	KB Shakeys Pluck	
UVI	Analog Motion	3-Playable	KB Step Keys	
UVI	Analog Motion	3-Playable	LD Ambient Modulator	
UVI	Analog Motion	3-Playable	LD Elvish Violon	
UVI	Analog Motion	3-Playable	LD Lightwaves	
UVI	Analog Motion	3-Playable	LD Octaved Solo	
UVI	Analog Motion	3-Playable	LD Soft Light	
UVI	Analog Motion	3-Playable	LD Sync Fallead	
UVI	Analog Motion	3-Playable	OR Wheel War Orchestra	
UVI	Analog Motion	3-Playable	PD Cosmopolis X Pad	
UVI	Analog Motion	3-Playable	PD Fantasy Ominous	
UVI	Analog Motion	3-Playable	PD Hi N Ken	
UVI	Analog Motion	3-Playable	PD Mist Rise	
UVI	Analog Motion	3-Playable	PD Organic Ambient	
UVI	Analog Motion	3-Playable	PD Scan Syn	
UVI	Analog Motion	3-Playable	PD Soft Mover	
UVI	Analog Motion	3-Playable	PD Table Flyer	
UVI	Analog Motion	3-Playable	PD Venus Automod	
UVI	Analog Motion	3-Playable	PL Filter Dirty Step	
UVI	Analog Motion	3-Playable	PL Glide Rise Seq	
UVI	Analog Motion	3-Playable	PL Kevin Stack	
UVI	Analog Motion	3-Playable	PL Marimbanalog	
UVI	Analog Motion	3-Playable	PL Sci Syn	
UVI	Analog Motion	3-Playable	PL Spring Five	
UVI	Analog Motion	3-Playable	PL Sync Fall	
UVI	Analog Motion	3-Playable	SW Sweep Lag S&H	
UVI	Analog Motion	4-Chords	Ange Analog Split	
UVI	Analog Motion	4-Chords	Autochord Jam	
UVI	Analog Motion	4-Chords	Creeper Chord	
UVI	Analog Motion	4-Chords	Fantasy Chord White Keys	
UVI	Analog Motion	4-Chords	Lag S&H Chord	
UVI	Analog Motion	4-Chords	PAD Fairy Tail	
UVI	Analog Motion	4-Chords	Slider Phase	
UVI	Analog Motion	4-Chords	Suspect Usual	
UVI	Analog Motion	5-FX	EDo You Read Me	
UVI	Analog Motion	5-FX	Encounters	
UVI	Analog Motion	5-FX	FX Alarma	
UVI	Analog Motion	5-FX	Heatbeat Galactic	
UVI	Analog Motion	5-FX	Jupiton Rise	
UVI	Analog Motion	5-FX	Noise Ramp	
UVI	Analog Motion	5-FX	Sometimes Pad	
UVI	Analog Motion	5-FX	Space Bubbles	
UVI	Analog Motion	5-FX	Speachy Froggy	
UVI	Analog Motion	5-FX	Thunderbolt	
UVI	Analog Motion	5-FX	Uno Mod Mayhem	
Spectre		(Released: June 8, 2016)		Jump to top
UVI	Spectre	Arp and Seq	ARP Appeased	
UVI	Spectre	Arp and Seq	ARP Atom	
UVI	Spectre	Arp and Seq	ARP Boson	
UVI	Spectre	Arp and Seq	ARP DnBass Dnbreak	
UVI	Spectre	Arp and Seq	ARP Ping Pong	
UVI	Spectre	Arp and Seq	ARP Suspicious	
UVI	Spectre	Arp and Seq	SEQ Agressive Lead	
UVI	Spectre	Arp and Seq	SEQ Alan Walk 1	
UVI	Spectre	Arp and Seq	SEQ Alan Walk 2	
UVI	Spectre	Arp and Seq	SEQ Analog pluck	
UVI	Spectre	Arp and Seq	SEQ Booty Bouncy	
UVI	Spectre	Arp and Seq	SEQ Burner 1	
UVI	Spectre	Arp and Seq	SEQ Burner 2	
UVI	Spectre	Arp and Seq	SEQ Burner 3	
UVI	Spectre	Arp and Seq	SEQ Cream	
UVI	Spectre	Arp and Seq	SEQ DnBass Frogs	
UVI	Spectre	Arp and Seq	SEQ DnBass Lumbjacker	
UVI	Spectre	Arp and Seq	SEQ DnBass Rise	
UVI	Spectre	Arp and Seq	SEQ Gangsta	
UVI	Spectre	Arp and Seq	SEQ Geckoko	
UVI	Spectre	Arp and Seq	SEQ Groovble	
UVI	Spectre	Arp and Seq	SEQ Kolala 1	
UVI	Spectre	Arp and Seq	SEQ Kolala 2	
UVI	Spectre	Arp and Seq	SEQ Kolala 3	
UVI	Spectre	Arp and Seq	SEQ Ommet Uzcan	
UVI	Spectre	Arp and Seq	SEQ Ready 1	
UVI	Spectre	Arp and Seq	SEQ Ready 2	
UVI	Spectre	Arp and Seq	SEQ Ready 3	
UVI	Spectre	Arp and Seq	SEQ Rhodes Lover	
UVI	Spectre	Arp and Seq	SEQ Smasher	
UVI	Spectre	Arp and Seq	SEQ Soft	
UVI	Spectre	Arp and Seq	SEQ Strongwell	
UVI	Spectre	Arp and Seq	SEQ Summer	
UVI	Spectre	Arp and Seq	SEQ Sun is Down	
UVI	Spectre	Arp and Seq	SEQ Tension	
UVI	Spectre	Arp and Seq	SEQ Where Am I Now	
UVI	Spectre	Arp and Seq	SEQ Where Are Them Now	
UVI	Spectre	Arp and Seq	SEQ Wombassor 1	
UVI	Spectre	Arp and Seq	SEQ Wombassor 2	
UVI	Spectre	Arp and Seq	SEQ Yee	
UVI	Spectre	Bass	BA Analog pluck	
UVI	Spectre	Bass	BA Atom	
UVI	Spectre	Bass	BA Bazz	
UVI	Spectre	Bass	BA Blast	
UVI	Spectre	Bass	BA Boson	
UVI	Spectre	Bass	BA Burner 1	
UVI	Spectre	Bass	BA Burner 2	
UVI	Spectre	Bass	BA Burner 3	
UVI	Spectre	Bass	BA Cheerleader	
UVI	Spectre	Bass	BA Deep Saw	
UVI	Spectre	Bass	BA Deep Sine	
UVI	Spectre	Bass	BA DnBass Dnbreak	
UVI	Spectre	Bass	BA DnBass Frogs	
UVI	Spectre	Bass	BA DnBass Lumbjacker	
UVI	Spectre	Bass	BA DnBass Rise	
UVI	Spectre	Bass	BA Dub Talker	
UVI	Spectre	Bass	BA Gangsta	
UVI	Spectre	Bass	BA Geckoko	
UVI	Spectre	Bass	BA Groovble	
UVI	Spectre	Bass	BA Growl Shot 1	
UVI	Spectre	Bass	BA Growl Shot 2	
UVI	Spectre	Bass	BA Growl Shot 3	
UVI	Spectre	Bass	BA Hot Metal Growl	
UVI	Spectre	Bass	BA Inflated	
UVI	Spectre	Bass	BA Iouaiy	
UVI	Spectre	Bass	BA Kolala 1	
UVI	Spectre	Bass	BA Kolala 2	
UVI	Spectre	Bass	BA Kolala 3	
UVI	Spectre	Bass	BA Long Sync	
UVI	Spectre	Bass	BA Nervous	
UVI	Spectre	Bass	BA OldSkool Stack	
UVI	Spectre	Bass	BA Phase House	
UVI	Spectre	Bass	BA Saw Your Face	
UVI	Spectre	Bass	BA Scary	
UVI	Spectre	Bass	BA Tujamo Brass	
UVI	Spectre	Bass	BA Veggynal	
UVI	Spectre	Bass	BA Wombassor 1	
UVI	Spectre	Bass	BA Wombassor 2	
UVI	Spectre	Bass	BA Wooble One	
UVI	Spectre	Bass	BA Yoy	
UVI	Spectre	Bells	BL Komodo	
UVI	Spectre	Bells	BL Sparky Arty	
UVI	Spectre	Bells	BL Sun is Down	
UVI	Spectre	Bells	BL Tell Me	
UVI	Spectre	Bells	BL Xylophone	
UVI	Spectre	Chords	CHO Bleep Gm	
UVI	Spectre	Chords	CHO Complete Cm	
UVI	Spectre	Chords	CHO Metrosex	
UVI	Spectre	Chords	CHO Mouth	
UVI	Spectre	Chords	CHO Tek Cluster	
UVI	Spectre	Drums	DR Bounce Dem	
UVI	Spectre	Drums	DR Breakbeat	
