Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	Jam Box by Mousse T.: AKAI, CDDA			
(Click the cell, and click the	Houseworx!: WAV/ACID, AKAI, CDDA			
hyperlink that comes up.)	Techno Trance Essentials: WAV, CDDA			
	8 Bit Stylez: AKAI, ELASTIK			
	Brazil Electro			
	Disco De Luxe: WAV, ELASTIK			
	House Essentials: WAV, CDDA			
	Essentials of the Order			
				
				
to-do: add cdda versions, add more products				
Jam Box by Mousse T.		(Released: July 1997)		
AKAI				
Ueberschall	Jam Box by Mousse T.	Partition A -> A HOUSE LOOP -> PROGRAM	HOUSE JAM120	
Ueberschall	Jam Box by Mousse T.	Partition A -> A HOUSE LOOP -> SAMPLE	01HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> A HOUSE LOOP -> SAMPLE	02HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> A HOUSE LOOP -> SAMPLE	03HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> A HOUSE LOOP -> SAMPLE	04HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> A HOUSE LOOP -> SAMPLE	05HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> A HOUSE LOOP -> SAMPLE	06HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> B HOUSE LOOP -> PROGRAM	DIRECTOUT120	
Ueberschall	Jam Box by Mousse T.	Partition A -> B HOUSE LOOP -> SAMPLE	07HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> B HOUSE LOOP -> SAMPLE	08HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> B HOUSE LOOP -> SAMPLE	09HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> B HOUSE LOOP -> SAMPLE	10HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> C HOUSE LOOP -> PROGRAM	HOUSETRIP120	
Ueberschall	Jam Box by Mousse T.	Partition A -> C HOUSE LOOP -> SAMPLE	11HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> C HOUSE LOOP -> SAMPLE	12HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> C HOUSE LOOP -> SAMPLE	13HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> C HOUSE LOOP -> SAMPLE	14HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> C HOUSE LOOP -> SAMPLE	15HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> D HOUSE LOOP -> PROGRAM	FULLHOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> D HOUSE LOOP -> SAMPLE	16HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> D HOUSE LOOP -> SAMPLE	17HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> D HOUSE LOOP -> SAMPLE	18HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> D HOUSE LOOP -> SAMPLE	19HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> D HOUSE LOOP -> SAMPLE	20HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> PROGRAM	B.A.S.I.C124	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	21HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	22HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	23HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	24HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	25HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	26HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	27HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	28HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> E HOUSE LOOP -> SAMPLE	29HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> PROGRAM	STRICTLY 122	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	30HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	31HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	32HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	33HOUSE126-R	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	34HOUSE126	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	35HOUSE122-R	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	36HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	37HOUSE122-R	
Ueberschall	Jam Box by Mousse T.	Partition A -> F HOUSE LOOP -> SAMPLE	38HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> PROGRAM	STOMP    123	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> SAMPLE	39HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> SAMPLE	40HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> SAMPLE	41HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> SAMPLE	42HOUSE121	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> SAMPLE	43HOUSE102	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> SAMPLE	44HOUSE102	
Ueberschall	Jam Box by Mousse T.	Partition A -> G HOUSE LOOP -> SAMPLE	45HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> PROGRAM	BASIC4 H.123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B1HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B2HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B3HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B4HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B5HOUSE125	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	B6HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C1HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C2HOUSE120	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C3HOUSE116	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C4HOUSE116	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C5HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition A -> H HOUSE LOOP -> SAMPLE	C6HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> PROGRAM	PUSH ON  123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	46HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	47HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	48HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	49HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	50HOUSE122	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	51HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> I HOUSE LOOP -> SAMPLE	52HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> PROGRAM	COM.TRACK123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> PROGRAM	HOUSE MIX124	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	53HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	54HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	55HOUSE124	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	56HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	57HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	58HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	59HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	60HOUSE128	
Ueberschall	Jam Box by Mousse T.	Partition B -> J HOUSE LOOP -> SAMPLE	61HOUSE123	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> PROGRAM	OLDSCHOOL106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	62HOUSE112	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	63HOUSE110	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	64HOUSE106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	65HOUSE106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	66HOUSE106	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	67HOUSE 96	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	68HOUSE 96	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	69HOUSE 97	
Ueberschall	Jam Box by Mousse T.	Partition B -> K HOUSE LOOP -> SAMPLE	70HOUSE 97	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> PROGRAM	R I O    133	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	71HOUSE133	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	72HOUSE133	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	73HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	74HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	75HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	76HOUSE134	
Ueberschall	Jam Box by Mousse T.	Partition B -> L HOUSE LOOP -> SAMPLE	77HOUSE123	
