Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	Special Edition Vol. 1			
(Click the cell, and click the				
hyperlink that comes up.)				
				
to-do: add the remaining Special Edition Volumes + extensions, add the giga stuff, basically just add everything				
Special Edition Vol. 1		(Released: April 2, 2007)		
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Chord Presets	SE01 Solo String Chords	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Chord Presets	SE03 Orchestra String Chords	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Chord Presets	SE11 Woodwind Chords	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Chord Presets	SE21 Brass Chords	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 01 Solo Strings	SE DB Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 01 Solo Strings	SE VA Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 01 Solo Strings	SE VC Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 01 Solo Strings	SE VI Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 03 Orchestra Strings	SE DB-6 Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 03 Orchestra Strings	SE VA-10 Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 03 Orchestra Strings	SE VC-8 Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 03 Orchestra Strings	SE VI-14 Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 11 Flutes	SE FL1 Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 11 Flutes	SE PFL Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 12 Oboes	SE EH Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 12 Oboes	SE Obfr Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 13 Clarinets	SE BCL Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 13 Clarinets	SE CLBb Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 14 Bassoons	SE BA Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 14 Bassoons	SE CBA Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 21 Horns	SE HO-a4 Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 21 Horns	SE HOtr Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 22 Trumpets	SE Tr-a3 PRESET VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 22 Trumpets	SE TrC Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 23 Trombones	SE BTB Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 23 Trombones	SE TB-a3 Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 23 Trombones	SE TTB Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI PRO-2 Presets -> 24 Tubas	SE TU Preset VIPRO	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Inspiration Presets	SE_All_Strings_Legato	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Inspiration Presets	SE_Dynamic_and_Majestic	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Inspiration Presets	SE_Follow_him	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Inspiration Presets	SE_John_and_Terry	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Inspiration Presets	SE_Majestic_Brass	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Inspiration Presets	SE_Roses_and_Lilies	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE01 Preset Solo Strings	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE03 Preset Orchestral Strings	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE05 Preset Harp	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE11 Preset Flutes	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE12 Preset Oboes	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE13 Preset Clarinets	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE14 Preset Bassoons	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE21 Preset Horns	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE22 Preset Trumpets	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE23 Preset Trombones	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE24 Preset Tuba	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE31 Preset Keyboards	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE32 Preset Mallets	
Vienna Symphonic Library	Special Edition Vol. 1	PRESET -> VI Presets	SE33 Preset Percussion	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 01 So-Str Chords (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 02 So-Str Chords (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 03 So-Str Chords (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 04 So-Str Chords (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 11 So-Str Cho-rep (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 12 So-Str Cho-rep (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 13 So-Str Cho-rep (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 01 Solo Strings Chords	SE 14 So-Str Cho-rep (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 01 Or-Str Chords (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 02 Or-Str Chords (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 03 Or-Str Chords (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 04 Or-Str Chords (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 11 Or-Str Cho-rep (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 12 Or-Str Cho-rep (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 13 Or-Str Cho-rep (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 03 Orchestra Strings Chords	SE 14 Or-Str Cho-rep (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 01 WW Chords (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 02 WW Chords (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 03 WW Chords (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 04 WW Chords (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 11 WW Cho-rep (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 12 WW Cho-rep (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 13 WW Cho-rep (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 11 Woodwinds Chords	SE 14 WW Cho-rep (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 01 BR Chords (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 02 BR Chords (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 03 BR Chords (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 04 BR Chords (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 11 BR Cho-rep (8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 12 BR Cho-rep (3)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 13 BR Cho-rep (5)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Chord Matrices -> 21 Brass Chords	SE 14 BR Cho-rep (7+8)	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Matrices -> 01 Solo Strings -> 01 Solo Violin	SE VI 01_basic	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Matrices -> 01 Solo Strings -> 01 Solo Violin	SE VI 02_leg-speed	
Vienna Symphonic Library	Special Edition Vol. 1	MATRIX -> VI PRO-2 Matrices -> 01 Solo Strings -> 01 Solo Violin	SE VI 32 arpeggios	
