Company/Manufacturer	Product	Path/Bank	Program	Notes
Note: Tab is WIP				
				
Table of Contents				
				
JUMP TO:	Platinum 24 - Acoustic Drums: AKAI			
(Click the cell, and click the	Platinum 24 - Electronic Drums: AKAI			
hyperlink that comes up.)	Powered DX			
	Platinum 24 - Latin Percussion: AKAI			
				
				
to-do: add other formats like EXS24, HALion for Latin Percussion and determine if the other Platinum24 drum libraries were released in this formats and add those as well, add more products				
Platinum24 - Acoustic Drums		(Released: May 2000)		Jump to top
AKAI				
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> PROGRAM	CRASH	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> PROGRAM	HHTS	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> PROGRAM	KICK	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> PROGRAM	RIDE	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> PROGRAM	SNARES	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> PROGRAM	TOMS	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	34ORM0101.	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	34ORM0102.	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	34ORM0103.	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	34ORM0104.	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	36BD10101.	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	36BD10102.	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	36BD10103.	
Wizoo	Platinum24 - Acoustic Drums	CD 1 -> Partition A -> 01 PLATINUM -> SAMPLE	36BD10104.	
