Company/Manufacturer	Product	Path/Bank	Program	Notes
				
Table of Contents				
				
JUMP TO:	Plugsound vol. 4 Hip Hop & R'n B ToolKit	UVI Sound FX	Ravenscroft 275 Piano	HX-Oddy
(Click the cell, and click the	Plugsound vol. 5 World of Synthesizers	MachFive Biosphere	UVX80	PX WaveFrame
hyperlink that comes up.)	Plugsound vol. 3 Drum & Percs Elements	Emulation II: Original, Plus	OB Legacy	Mosaiq: Original, Version 26
	Plugsound vol. 1 Keyboards Collection	Electro Suite: Original, Demo	Memori	UVI Starter
	Plugsound vol. 2 Fretted Instruments	Analogic Piano 09	Nagoya Harp	Click
	Plugsound vol. 6 Global Collection	String Machines: Original, Version 2	Meteor	Bloom
	Plugsound Free	Tines Anthology	Augmented Piano	Prisma - Producer Lab
	Charlie	Darklight IIx	USQ-1	Augmented Choirs
	Ultra Focus	Emulation One	Drum Designer: Original, Version 1.5	Orbit
	SonicBoomBox	IRCAM Prepared Piano: Original, Version 2	Walker: Original, Version 2	Vintage CASIO Legacy
	Xtreme FX: Original, Demo, Ver. 1.5, Ver. 2	UVI Soundpack Demo	PX V8	Rumble
	ClassicalBoomBox	The Beast	FM Suite	Thorus XT
	EthnicBoomBox	CS-M: Original, Version 1.5	Key Suite Acoustic	
	PlugSound Pro	ENERGY	Whoosh FX	
	Retro Organs: Original, Demo, Suite	FMX1	Key Suite Digital	
	Synth Anthology: Original, Demo, V2, V3, V4, V5	Kroma: Original, Version 1.5	Key Suite Electric	
	Mayhem of Loops: Original, Demo, V1.5	Synthox: Original, Version 1.5	UVX670	
	Retro Keyboards: Original, Demo	U1250	8-Bit Synth	-=- Unknown Release Date Stuff -=-
	UVI Tutorial Set	Vintage Legends: Original, Demo	Toy Suite	Drum Replacer
	IRCAM Solo Instruments: Original, Version 2	UVX-3P: Original, Demo	PX P10	Dual Delay X
	S22-Vintage Blues Guitar	Digital Synsations Vol. 1: Original, Demo, Version 2.0	JP Legacy	Japanese Grand Piano
	S07-Crazy Processed Drumloops	UltraMini: Original, Version 1.5	Austrian Grand	MiniOrgan Museum (June 2008/unreleased?)
	Electric Toy Museum	WaveRunner	Drone	Opal
	Acoustic Grand Piano	Mello	Program 24	Phasor
	Classic Electric Piano	Prime 8+	PX Memories	Plate
	CP Electric Grand	Scratch Machine	Quadra - Muted and Harmonics	Relayer: Original (june 25 2015), Version 1.5 (may 18 2017?)
	Funky Clav D6	Urban Suite	Super-7	Rotary (march 30 2017?)
	Percussion Store	URBAN X	Asteroid	S01-Hard & Loud Techno
	Baby Grand Piano	UVX-10P	PX SunBox	S02-Underground Hip Hop (nov 11 2008)
	Jazzistic	PiNG	Quadra - Metal and Wood	S29-Killer Brass Riffs
	Spirit of Gongs	Vector Pro	Bit Zone	S30-Bass Grooves
	Upright Grand Piano	EGP	Hybrid 6000	S43-Arabian Traditions
	BeatBox Anthology: Original, Version 2	Synth Legacy	Soul Drums	S45-Indian Traditions
	EKOLOOPZ Hip Hop Planet	SweepMachine	Augmented Orchestra	S47-Hip Hop R'n B 2
	F Grand Piano	BeatHawk	Mission 6	S60-Asian Traditions
	Italian Grand Piano	Model D	Soul Bass	Shade: Original (sep 24 2020), Version 1.1 (october 21 2020)
	Grand Piano Collection	Orchestral Suite: Original, Version 2	PX Guitar Syn	SparkVerb: Original (sep 20 2013), Version 1.5 (dec 5 2025)
	Acoustic Toy Museum	Falcon: Original, 1.1, 1.6, 2.0, 2.1, 2.5, 2.8, 3, 26	Quadra - Traveler	Solina String Ensemble
	WaveFrame Sound Collection	Cameo	Percussion Factory: Original, Version 2	Tape Suite (june 26 2024)
	The Seventh	PX Apollo	KAWAI Vintage Legacy	Thorus (june 23 2016)
	World Traditions	Spark Invaders	Unlock	Ultimate CS70M (unreleased?)
	Complete Toy Museum	Attack EP88	HX-20	Ultimate D50 (unreleased?)
	ElectroBeats by David Guetta	World Suite: Original, Version 2, Version 3	Noctua	Wurlitzer™ 200A (Sep 2008?)
	UVI Grand Piano	UVS-3200	Glass Orchestra	
	UVI Electric Piano	Digital Synsations Vol. 2	Aurora	
	UVI Wurli	Falcon Preset Tour	Quadra - Modular	
				
				
to-do: obtain products above crossed out, add notes to confirm as many release dates as possible, add effects plugins (SparkVerb etc)				
Plugsound vol. 4 Hip Hop & R'n B ToolKit		(Released: April 25, 2002)		Jump to top
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	074 BPM- Off Shore	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	085 BPM- Alias	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	085 BPM- Amazonia	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	092 BPM- Sheekee A	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	092 BPM- Yo Yo Yo	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	098 BPM- Africanism	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	098 BPM- Technicity	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	098 BPM- Tum Tatum	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	100 BPM- Impulse	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	100 BPM- War	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	122 BPM- Electronica	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 01-Timba Style	122 BPM- Speed	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 02-Funk Mood	089 BPM- Amnesia	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 02-Funk Mood	092 BPM- Access	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 02-Funk Mood	096 BPM- Shake your Booty	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 02-Funk Mood	097 BPM- Eden Funk	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 02-Funk Mood	100 BPM- Daft Funk	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 02-Funk Mood	100 BPM- Jump	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 02-Funk Mood	100 BPM- Talk Box	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 03-Talk Boxed	067 BPM- Love You Girl	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 03-Talk Boxed	082 BPM- You're My	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 03-Talk Boxed	096 BPM- Baby	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	085 BPM- Dirty One	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	089 BPM- Doctor Gray	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	092 BPM- Dark Sky	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	092 BPM- Illusion	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 04-M&M	092 BPM- In the Night	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	087 BPM- Only Drums 1	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	089 BPM- Only Drums 2	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	092 BPM- Come Back	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	092 BPM- Only Drums 3	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- Chips	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- In the Moove	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- Right Fiction	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	096 BPM- Slappy	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	097 BPM- Jenny Loonies	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	100 BPM- Ferocious	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	101 BPM- Chronic	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	101 BPM- Distorsion	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	106 BPM- Pop Corn	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	108 BPM- Fantastica	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	128 BPM- Dush	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 05-Pure R'n B	130 BPM- Witness	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	082 BPM- Liberty	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	082 BPM- Wake Up	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	086 BPM- Congo Slide	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	088 BPM- Color	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Eve	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Flavour	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Gadget Car	
UltimateSoundBank	Plugsound vol. 4 Hip Hop & R'n B ToolKit	01-Construction Kits -> 06-Hip Hop	089 BPM- Homies	
